timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 21:15:16.189533,4.2,86.4,14.8,6225845,16812705,338,1128023.3916652203,1
2026-03-03 21:15:21.206877,4.9,86.4,14.8,6225845,16812705,337,1128028.4228417873,1
2026-03-03 21:15:26.236104,4.5,86.0,14.8,6225845,16812705,337,1128033.4450650215,1
2026-03-03 21:15:31.259934,7.5,86.0,14.8,6225845,16812705,337,1128038.4617147446,1
2026-03-03 21:15:36.275931,2.0,86.1,14.8,6225845,16812705,338,1128043.4816446304,1
2026-03-03 21:15:41.307222,4.3,86.1,14.8,6225845,16812705,338,1128048.5099172592,1
2026-03-03 21:15:46.324063,6.9,86.1,14.8,6225845,16812705,338,1128053.528273344,1
2026-03-03 21:15:51.342830,3.2,86.2,14.8,6225845,16812705,338,1128058.5463347435,1
2026-03-03 21:15:56.361556,3.9,86.0,14.8,6225845,16812705,338,1128063.56370759,1
2026-03-03 21:16:01.377457,1.9,86.0,14.8,6225845,16812705,338,1128068.579108715,1
2026-03-03 21:16:06.393170,3.2,86.0,14.8,6225845,16812705,336,1128073.5976486206,1
2026-03-03 21:16:11.412859,4.3,86.0,14.8,6225845,16812705,336,1128078.6148853302,1
2026-03-03 21:16:16.428855,1.6,85.9,14.8,6225845,16812705,336,1128083.6321325302,1
2026-03-03 21:16:21.447295,4.6,85.9,14.8,6225845,16812705,336,1128088.6510956287,1
2026-03-03 21:16:26.465794,3.3,86.0,14.8,6225845,16812705,336,1128093.6671488285,1
2026-03-03 21:16:31.480843,5.5,86.0,14.8,6225845,16812705,336,1128098.6841409206,1
2026-03-03 21:16:36.499544,4.5,86.1,14.8,6225845,16812705,336,1128103.703937292,1
2026-03-03 21:16:41.521658,9.3,85.9,14.8,6225845,16812705,336,1128108.7235965729,1
2026-03-03 21:16:46.538993,8.2,85.9,14.8,6225845,16812705,336,1128113.735429287,1
2026-03-03 21:16:51.548141,1.9,86.0,14.8,6225845,16812705,336,1128118.7507276535,1
2026-03-03 21:16:56.565727,2.0,85.9,14.8,6225845,16812705,336,1128123.7726984024,1
2026-03-03 21:17:01.589714,8.5,85.9,14.8,6225845,16812705,336,1128128.7964553833,1
2026-03-03 21:17:06.648664,9.1,86.0,14.8,6225845,16812705,336,1128133.858634472,1
2026-03-03 21:17:11.674007,4.3,86.0,14.8,6225845,16812705,336,1128138.8805589676,1
2026-03-03 21:17:16.695934,2.3,86.0,14.8,6225845,16812705,336,1128143.8982560635,1
2026-03-03 21:17:21.713835,1.9,86.0,14.8,6225845,16812705,336,1128148.9193000793,1
2026-03-03 21:17:26.733957,3.5,86.0,14.8,6225845,16812705,336,1128153.9381570816,1
2026-03-03 21:17:31.753460,6.0,86.0,14.8,6225845,16812705,336,1128158.9534423351,1
2026-03-03 21:17:36.768296,6.2,86.0,14.8,6225845,16812705,336,1128163.9726495743,1
2026-03-03 21:17:41.788864,9.7,85.9,14.8,6225845,16812705,336,1128168.9942772388,1
2026-03-03 21:17:46.809485,2.7,85.9,14.8,6225845,16812705,336,1128174.012524128,1
2026-03-03 21:17:51.826759,2.6,85.9,14.8,6225845,16812705,336,1128179.0291075706,1
2026-03-03 21:17:56.844346,3.4,86.0,14.8,6225845,16812705,336,1128184.0457057953,1
2026-03-03 21:18:01.859438,6.6,86.0,14.8,6225845,16812705,336,1128189.065388441,1
2026-03-03 21:18:06.881093,32.9,86.4,14.8,6225845,16812705,338,1128194.1159625053,1
2026-03-03 21:18:11.930807,2.9,86.2,14.8,6225845,16812705,338,1128199.1344430447,1
2026-03-03 21:18:16.950385,8.6,87.0,14.8,6225845,16812705,338,1128204.1573927402,1
2026-03-03 21:18:21.972409,2.5,86.8,14.8,6225845,16812705,338,1128209.1765239239,1
